,RTE ,Street Name,From Adress,To Adress,Day,Time,Side,From Street,To Street,Optout
348,32,Ward,1101,1499.0,2nd Tue,AM,N,San Pablo,Sacramento,
349,31,Ward,1500,1998.0,1st Tue,AM,S,Sacramento,Milvia,
350,21,Ward,1501,1999.0,1st Mon,AM,N,Sacramento,Milvia,
351,23,Ward,2001,2425.0,3rd Mon,AM,N,Milvia,Telegraph,
352,34,Warring,2300,2498.0,4th Tue,PM,W,Bancroft,Dwight,
353,44,Warring,2351,2499.0,4th Wed,PM,E,Durant,Dwight,
354,64,Warring,2500,2698.0,4th Fri,AM,W,Dwight,Derby,
355,54,Warring,2501,2699.0,4th Thurs,AM,E,Dwight,Derby,
356,22,Watkins,1300,1398.0,2nd Mon,PM,N,Neilson,Tevlin,
357,61,Watkins,1300,1398.0,1st Fri,PM,S,Neilson,Tevlin,
358,33,Webster,2250,2398.0,3rd Tue,AM,S,Deakin,Telegraph,
359,23,Webster,2251,2399.0,3rd Mon,AM,N,Deakin,Telegraph,
360,63,Webster,2600,2998.0,3rd Fri,AM,S,Hillegass,Claremont,
361,34,Webster,2601,2999.0,4th Tue,AM,N,Hillegass,Claremont,
362,61,West,2300,2498.0,1st Fri,AM,W,Bancroft,Dwight,
363,22,West,2301,2499.0,2nd Mon,AM,E,Bancroft,Dwight,
364,53,Wheeler,2900,3198.0,3rd Thurs,AM,W,Russell,Woolsey,
365,43,Wheeler,3001,3123.0,3rd Wed,AM,E,Russell,Woolsey,
366,31,Woolsey,1501,1899.0,1st Tue,AM,N,Sacramento,M L King,
367,21,Woolsey,1598,1820.0,1st Mon,AM,S,Sacramento,M L King,
368,33,Woolsey,1901,2599.0,3rd Tue,AM,N,Adeline,Hillegass,
369,23,Woolsey,2000,2598.0,3rd Mon,AM,S,Adeline,Hillegass,
370,34,Woolsey,2600,2994.0,4th Tue,AM,S,Hillegass,Claremont,
371,63,Woolsey,2601,2899.0,3rd Fri,AM,N,Hillegass,Claremont,
372,52,Yolo,1900,2026.0,2nd Thurs,PM,S,The Alameda,Sutter,
373,62,Yolo,1901,1999.0,2nd Fri,PM,N,The Alameda,Milvia,1900
374,62,Yolo,1901,2027.0,2nd Fri,PM,N,The Alameda,Sutter,2000
375,63,Yosemite,2000,2098.0,3rd Fri,PM,S,San Fernando,Contra Costa,
